


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 1 0 51.0204 887.4 0 0.303085
 2 0 82.6446 702.6 0 0.111755
 3 0 82.6446 202.4 0 0.15889
 4 0 82.6446 17.5996 0 -0.111099
 5 0 51.0204 -479.6 0 -1.46809
 6 0 51.0204 -664.4 0 -2.25277
 7 -0.0874939 82.6446 140.8 -1.55912 0.136414
 8 0.0874939 82.6446 79.2002 -0.942972 -0.0825043
 9 -0.0874863 51.0204 -541.2 19.2941 -1.68797
 10 0.0874939 51.0204 764.2 3.03314 0.265381
 11 0.0874863 156.25 -602.8 -21.8948 -1.9155
 12 -0.0874939 51.0204 825.8 -1.17108 0.102463
 For a new Track : 
 1 0 51.0204 887.4 0 0.203461
 2 0 82.6446 702.6 0 -0.161743
 3 0 82.6446 202.4 0 0.019989
 4 0 82.6446 17.5996 0 0.0232849
 5 0 51.0204 -479.6 0 0.00050354
 6 0 51.0204 -664.4 0 -0.0656586
 7 -0.0874939 82.6446 140.8 2.5218 -0.220642
 8 0.0874939 82.6446 79.2002 3.43129 0.300217
 9 -0.0874863 51.0204 -541.2 10.5174 -0.920128
 10 0.0874939 51.0204 764.2 -2.79508 -0.244553
 11 0.0874863 156.25 -602.8 11.4597 1.00256
 12 -0.0874939 51.0204 825.8 -3.0797 0.269455
 For a new Track : 
 1 0 51.0204 887.4 0 0.187042
 2 0 82.6446 702.6 0 -0.170029
 3 0 82.6446 202.4 0 0.0291748
 4 0 82.6446 17.5996 0 0.0372467
 5 0 51.0204 -479.6 0 0.0228043
 6 0 51.0204 -664.4 0 -0.0419235
 7 -0.0874939 82.6446 140.8 2.39745 -0.209763
 8 0.0874939 82.6446 79.2002 3.57377 0.312683
 9 -0.0874863 51.0204 -541.2 10.256 -0.897255
 10 0.0874939 51.0204 764.2 -2.9196 -0.255447
 11 0.0874863 156.25 -602.8 11.7266 1.02592
 12 -0.0874939 51.0204 825.8 -2.92431 0.255859
 For a new Track : 
 1 0 51.0204 887.4 0 0.135895
 2 0 82.6446 702.6 0 -0.154724
 3 0 82.6446 202.4 0 0.0648804
 4 0 82.6446 17.5996 0 0.0216217
 5 0 51.0204 -479.6 0 -0.288689
 6 0 51.0204 -664.4 0 -0.522026
 7 -0.0874939 82.6446 140.8 -1.24276 0.108734
 8 0.0874939 82.6446 79.2002 -0.40722 -0.0356293
 9 -0.0874863 51.0204 -541.2 3.82166 -0.334343
 10 0.0874939 51.0204 764.2 0.244681 0.0214081
 11 0.0874863 156.25 -602.8 -4.32624 -0.378487
 12 -0.0874939 51.0204 825.8 1.21992 -0.106735
 For a new Track : 
 1 0 51.0204 887.4 0 0.204041
 2 0 82.6446 702.6 0 -0.161438
 3 0 82.6446 202.4 0 0.0195007
 4 0 82.6446 17.5996 0 0.0225525
