
          // z1 z2 z3 x1 x2 x3
	  -664.4 17.5996 887.4 -1924.97 -1690.34 -1376.16
      	  -664.4 17.5996 887.4 -1632.84 -1683.78 -1746.34
          
          -664.4 17.5996 887.4 -1632.84 -1685.03 -1746.34
          
          -664.4 202.4 887.4 -1589.59 -2284.09 -2843.97
          
          -664.4 202.4 887.4 -1589.59 -2284.09 -2837.16
          
          -664.4 17.5996 887.4 -1589.59 -1875.47 -2242.41
          
          -664.4 17.5996 887.4 -1589.59 -1875.47 -2238.97
          
          -664.4 17.5996 887.4 -1589.59 -1430.47 -1225.47
          
          -664.4 17.5996 887.4 -1589.59 -1431.34 -1225.47
          
          -664.4 202.4 887.4 -1589.59 -1389.41 -1225.47
          
          -664.4 202.4 887.4 -1589.59 -1390.03 -1225.47
          
          -664.4 202.4 887.4 -1494.66 -1981.22 -2377.72
          
          -664.4 17.5996 887.4 -1494.66 -1875.47 -2377.72
          
          -664.4 17.5996 887.4 -1494.66 -1615.41 -1769.72
          
          -664.4 202.4 887.4 -1494.66 -1651.78 -1769.72
          
          -664.4 17.5996 887.4 -1247.66 -1685.03 -2242.41
          
          -664.4 17.5996 887.4 -1247.66 -1683.78 -2242.41
          
          -664.4 17.5996 887.4 -1247.66 -1683.78 -2238.97
          
          -664.4 202.4 887.4 -1247.66 -1651.78 -1979.34
          
          -664.4 202.4 887.4 -1247.66 -1603.16 -1890.72
          

